Well,Group,Type,Sample,Wavelength [Ex],plate_ID,order_reading,Abs.x,Time [s].x,Abs.y,Time [s].y,Well_row,Well_col,Time_1,Time_2,plate_ID_int,true_conc
A01,Group 1,Standard,CAL10001,450,plate_10,1,2.7632,0,2.7379,10.68,1,A,0,10.68,1,200
A24,Group 1,Standard,CAL10002,450,plate_10,24,2.6248,0.23,2.593,32.14,24,A,0.23,32.14,1,200
C01,Group 1,Standard,CAL20001,450,plate_10,49,2.7014,1.11,2.6995,55.65,1,C,1.11,55.65,1,150
C24,Group 1,Standard,CAL20002,450,plate_10,72,2.5337,1.34,2.5289,77.11,24,C,1.34,77.11,1,150
E01,Group 1,Standard,CAL30001,450,plate_10,97,2.0725,2.22,2.0718,100.61,1,E,2.22,100.61,1,100
E24,Group 1,Standard,CAL30002,450,plate_10,120,2.0296,2.45,2.02,122.08,24,E,2.45,122.08,1,100
G01,Group 1,Standard,CAL40001,450,plate_10,145,2.0397,3.33,2.0364,145.58,1,G,3.33,145.58,1,80
G24,Group 1,Standard,CAL40002,450,plate_10,168,1.7582,3.56,1.7461,167.04,24,G,3.56,167.04,1,80
I01,Group 1,Standard,CAL50001,450,plate_10,193,1.1969,4.44,1.1899,190.54,1,I,4.44,190.54,1,40
I24,Group 1,Standard,CAL50002,450,plate_10,216,1.0319,4.67,1.0173,212.01,24,I,4.67,212.01,1,40
K01,Group 1,Standard,CAL60001,450,plate_10,241,0.5456,5.55,0.5403,235.51,1,K,5.55,235.51,1,20
K24,Group 1,Standard,CAL60002,450,plate_10,264,0.4744,5.78,0.4617,256.97,24,K,5.78,256.97,1,20
M01,Group 1,Standard,CAL70001,450,plate_10,289,0.3215,6.66,0.3161,280.48,1,M,6.66,280.48,1,10
M24,Group 1,Standard,CAL70002,450,plate_10,312,0.2777,6.89,0.2653,301.94,24,M,6.89,301.94,1,10
A01,Group 1,Standard,CAL10001,450,plate_11,1,2.8234,0,2.8156,9.48,1,A,0,9.48,2,200
A24,Group 1,Standard,CAL10002,450,plate_11,24,2.4278,0.23,2.4224,30.95,24,A,0.23,30.95,2,200
C01,Group 1,Standard,CAL20001,450,plate_11,49,2.6148,1.11,2.6149,54.45,1,C,1.11,54.45,2,150
C24,Group 1,Standard,CAL20002,450,plate_11,72,2.2068,1.34,2.1993,75.91,24,C,1.34,75.91,2,150
E01,Group 1,Standard,CAL30001,450,plate_11,97,1.9061,2.22,1.9053,99.42,1,E,2.22,99.42,2,100
E24,Group 1,Standard,CAL30002,450,plate_11,120,1.4475,2.45,1.4407,120.88,24,E,2.45,120.88,2,100
G01,Group 1,Standard,CAL40001,450,plate_11,145,1.6779,3.33,1.679,144.38,1,G,3.33,144.38,2,80
G24,Group 1,Standard,CAL40002,450,plate_11,168,1.4342,3.56,1.4208,165.84,24,G,3.56,165.84,2,80
I01,Group 1,Standard,CAL50001,450,plate_11,193,0.7724,4.44,0.7695,189.35,1,I,4.44,189.35,2,40
I24,Group 1,Standard,CAL50002,450,plate_11,216,0.6684,4.67,0.6571,210.81,24,I,4.67,210.81,2,40
K01,Group 1,Standard,CAL60001,450,plate_11,241,0.3729,5.55,0.3686,234.31,1,K,5.55,234.31,2,20
K24,Group 1,Standard,CAL60002,450,plate_11,264,0.3438,5.78,0.3342,255.78,24,K,5.78,255.78,2,20
M01,Group 1,Standard,CAL70001,450,plate_11,289,0.2025,6.66,0.1986,279.28,1,M,6.66,279.28,2,10
M24,Group 1,Standard,CAL70002,450,plate_11,312,0.1807,6.89,0.1724,300.74,24,M,6.89,300.74,2,10
